id	fea1 fea2 ... fea84
1	0.0 0.0 0.0 0.01 0.0 0.0 0.0 336.24999999999994 0.0 54.400000000000006 3.6099999999999985 0.01 20.0 0.0 215.99999999999991 0.0 148.2 1.0 0.04 24.9 0.0 0.0 0.0 186.1 3.6499999999999946 0.02 2.7 0.0 0.0 0.0 0.0 0.10999999999999999 0.0 0.0 0.0 945.5200000000013 0.0 162.39999999999998 0.44000000000000017 0.3100000000000001 0.0 0.0 720.1000000000012 0.0 67.05 5.539999999999998 0.45000000000000023 0.0 0.0 0.0 0.0 187.70000000000002 7.9599999999999955 0.05 2.5 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 811.900000000001 1.0 66.26 4.9 0.05 0.0 3.0 746.3000000000011 1.0 166.14 6.010000000000001 0.0 8.6 3.4 0.0 0.0 332.70000000000005 3.719999999999998 0.0 0.0 0.0 
2	192.32999999999993 0.0 0.0 0.3600000000000001 0.0 0.0 0.0 645.5500000000008 0.0 41.1 54.32000000000004 0.0 10.0 0.0 480.7600000000007 4.0 125.00000000000003 15.159999999999995 0.0 0.0 0.0 4.0 0.0 164.7 6.090000000000001 0.0 4.0 0.0 18.7 0.0 0.0 0.01 0.0 0.0 0.0 858.6000000000006 4.0 55.8 45.50000000000002 0.02 0.0 0.0 634.7000000000008 0.0 82.1 15.619999999999996 0.03 0.0 0.0 58.8 0.0 90.80000000000001 17.56 0.01 0.0 0.0 5.6 0.0 0.0 0.16 0.0 0.0 0.0 548.8000000000005 0.0 52.0 40.910000000000004 0.0 0.0 0.3 785.9800000000007 5.0 102.69999999999999 25.34999999999999 0.0 3.2 1.8 10.8 1.0 147.29999999999998 7.2 0.0 0.0 0.0 
3	0.0 0.0 0.0 0.0 0.0 0.0 0.0 33.230000000000004 0.0 0.0 0.01 0.0 6.8 0.45 19.6 0.0 0.0 2.4 0.0 7.4 0.0 0.0 0.0 17.0 0.04 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
4	11.43 0.0 0.0 0.0 0.0 0.0 0.0 703.6200000000008 17.0 96.9 4.77 0.0 10.0 0.0 251.19999999999987 8.0 155.20000000000002 17.909999999999997 0.0 44.4 0.0 0.0 4.0 136.49999999999997 38.83000000000001 0.0 4.0 0.0 0.0 0.0 0.0 1.4 0.0 0.0 0.0 784.9200000000003 2.0 171.70000000000002 19.27 0.0 0.0 1.95 478.58000000000015 8.0 65.0 24.620000000000005 0.01 0.0 0.0 17.5 0.0 71.0 19.740000000000002 0.0 0.0 0.0 2.4 0.0 0.0 1.0 0.0 0.0 0.0 543.7600000000006 4.0 91.10000000000001 10.659999999999998 0.01 0.0 8.0 459.4200000000003 8.0 173.0 20.4 0.0 0.0 15.0 19.5 6.0 98.2 14.999999999999996 0.01 0.0 0.0 
5	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 7.0 0.0 17.7 0.01 0.0 0.0 0.0 9.0 0.0 8.3 0.7 0.0 0.0 0.0 33.1 0.0 0.0 1.6099999999999999 0.0 0.0 0.0 3.3 0.0 0.0 0.0 0.0 0.0 0.0 152.39999999999998 0.0 3.5 0.0 0.060000000000000005 11.3 0.0 63.26 0.0 0.0 0.0 0.0 15.16 0.0 9.8 1.0 0.0 5.4 0.0 10.2 0.0 
6	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
7	21.23 0.0 0.0 0.08 0.0 0.0 0.0 667.1100000000007 18.0 120.6 17.58 0.01 6.2 0.0 567.8600000000006 8.0 96.5 16.29 0.04 45.3 2.1 2.5 4.0 437.50000000000006 37.94000000000001 0.04 18.2 0.0 0.0 0.0 0.0 0.64 0.0 0.0 0.0 961.5299999999997 0.0 98.6 40.400000000000006 0.0 0.0 0.0 760.6800000000007 5.0 93.79 15.659999999999993 0.01 4.5 0.0 6.0 0.0 298.3 31.82000000000003 0.0 10.7 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 781.4300000000006 0.0 27.6 27.319999999999997 0.0 0.0 0.75 655.9000000000003 5.0 218.10000000000002 30.200000000000006 0.0 0.0 0.0 31.799999999999997 1.0 307.53999999999996 8.35 0.0 3.1 0.0 
8	121.77999999999999 0.0 0.0 0.0 0.0 0.0 0.0 1077.910000000001 4.0 266.40000000000003 25.64999999999999 0.2900000000000001 0.0 17.4 813.1000000000007 12.0 123.2 14.75 0.4000000000000002 4.0 0.0 0.0 0.0 220.40000000000003 24.729999999999997 0.01 2.0 0.0 140.98999999999995 0.0 0.0 0.0 0.0 0.0 0.0 1005.4100000000008 0.0 162.8 8.309999999999999 0.7100000000000004 0.0 12.6 793.4100000000004 1.0 185.8 14.309999999999999 0.7100000000000004 4.1 0.0 2.0 0.0 252.8 10.699999999999998 0.19 0.0 0.0 35.730000000000004 0.0 0.0 0.0 0.01 0.0 0.0 1251.0499999999995 0.0 153.9 13.389999999999997 0.9700000000000006 3.8 0.45 926.4600000000011 0.0 76.1 18.999999999999993 0.8500000000000005 2.8 15.0 18.2 0.0 276.59999999999997 22.599999999999998 0.20000000000000004 5.8 0.0 
9	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.24000000000000002 0.0 0.0 0.0 1086.0499999999997 0.0 79.0 38.88000000000003 0.0 0.0 0.0 953.7000000000004 4.0 174.3 29.889999999999997 0.0 4.699999999999999 0.0 0.0 0.0 156.4 14.789999999999997 0.0 4.0 0.0 0.0 0.0 0.0 1.47 0.0 0.0 0.0 1126.1500000000005 0.0 18.6 24.37000000000004 0.0 4.5 0.0 672.2000000000003 0.0 147.1 22.47000000000002 0.0 13.399999999999999 4.8 55.8 0.0 270.79999999999995 26.280000000000026 0.0 4.5 0.0 
10	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 81.39999999999999 0.0 10.8 0.15 0.09999999999999999 1.6 0.0 22.6 0.0 0.0 0.09 0.0 14.600000000000001 0.0 0.0 0.0 0.0 14.749999999999996 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.02 0.0 0.0 107.79999999999998 0.0 17.7 10.309999999999999 0.02 4.8 1.5 59.699999999999996 0.0 29.1 0.37 0.08 14.8 6.45 2.5 0.0 6.8 12.989999999999997 0.0 0.0 0.0 
