时间	消费总额
00	2484.970000000008
01	626.600000000001
02	179.88999999999965
03	37.83000000000003
04	65.92000000000002
05	39.759999999999984
06	10855.290000000121
07	73754.07000000248
08	51938.37999999905
09	21062.75999999996
10	35037.04999999808
11	328824.46999999013
12	220738.41000003563
13	27776.819999999538
14	21416.139999999752
15	26371.409999999374
16	50081.45999999857
17	1.234664945999569E7
18	189302.8400000159
19	44821.88999999899
20	41223.26999999917
21	69001.41999999777
22	50391.80999999789
23	6387.800000000354
