学号	第一学期排名	第二学期排名	第三学期排名
1	2	3	null
2	69	55	null
3	42	52	null
4	29	26	null
5	60	66	null
6	51	54	null
7	57	34	null
8	67	88	null
9	20	8	null
10	40	84	null
11	37	79	null
12	5	1	null
13	41	22	null
14	16	16	null
15	22	67	null
16	43	36	null
17	61	24	null
18	6	14	null
19	80	80	null
20	45	71	null
21	82	73	null
22	50	45	null
23	30	23	null
24	72	72	null
25	75	70	null
26	88	83	null
27	71	60	null
28	38	27	null
29	89	87	null
30	39	64	null
31	90	81	null
32	87	86	null
33	83	90	null
34	62	78	null
35	63	32	null
36	33	42	null
37	44	46	null
38	15	21	null
39	8	39	null
40	81	75	null
41	12	7	null
42	58	38	null
43	10	4	null
44	65	51	null
45	53	58	null
46	18	13	null
47	76	77	null
48	79	62	null
49	64	49	null
50	11	18	null
51	3	6	null
52	70	65	null
53	46	43	null
54	25	28	null
55	23	35	null
56	24	9	null
57	54	63	null
58	19	47	null
59	86	85	null
60	77	69	null
61	9	10	null
62	59	12	null
63	35	33	null
64	26	11	null
65	32	61	null
66	84	82	null
67	21	17	null
68	74	76	null
69	73	41	null
70	27	68	null
71	66	29	null
72	4	30	null
73	56	37	null
74	68	40	null
75	49	19	null
76	52	57	null
77	85	89	null
78	31	74	null
79	13	15	null
80	91	91	null
81	47	59	null
82	55	50	null
83	48	56	null
84	36	25	null
85	17	44	null
86	28	48	null
87	1	2	null
88	78	53	null
89	14	5	null
90	7	20	null
91	34	31	null
